Bonfire_Shelter_Eagle_Cave,Coontail_Spin,Halls_Cave,Hinds_Cave,Kincaid_Shelter,Montell_Shelter,Murrah_Cave,Schulze_Cave,Zesch_Cave
Antilocapra_americana,Antilocapra_americana,Antilocapra_americana,Antilocapra_americana,Antilocapra_americana,Antilocapra_americana,Antilocapra_americana,Antilocapra_americana,Antilocapra_americana
Bassariscus_astutus,Bassariscus_astutus,Baiomys_taylori,Bassariscus_astutus,Bassariscus_astutus,Bison_bison,Bassariscus_astutus,Baiomys_taylori,Baiomys_taylori
Bison_bison,Bison_bison,Bassariscus_astutus,Bison_bison,Bison_bison,Canis_familiaris,Bison_bison,Bison_bison,Blarina_carolinensis
Canis_familiaris,Canis_familiaris,Bison_bison,Canis_familiaris,Canis_familiaris,Canis_latrans,Canis_familiaris,Canis_familiaris,Canis_familiaris
Canis_latrans,Canis_latrans,Blarina_carolinensis,Canis_latrans,Canis_latrans,Canis_lupus,Canis_latrans,Canis_latrans,Canis_latrans
Canis_lupus,Canis_lupus,Canis_familiaris,Canis_lupus,Canis_lupus,Chaetodipus_hispidus,Canis_lupus,Canis_lupus,Canis_lupus
Geomys_sp,Lepus_californicus_holocene,Canis_latrans,Dipodomys_elator,Conepatus_leuconotus,Conepatus_leuconotus,Lepus_californicus_holocene,Chaetodipus_hispidus,Chaetodipus_hispidus
Lepus_californicus_holocene,Lynx_rufus_holocene,Canis_lupus,Geomys_sp,Dasypus_novemcinctus,Cynomys_ludovicianus,Lynx_rufus_holocene,Conepatus_leuconotus,Conepatus_leuconotus
Lynx_rufus_holocene,Mustela_sp,Chaetodipus_hispidus,Lepus_californicus_holocene,Geomys_sp,Dasypus_novemcinctus,Mephitis_mephitis,Cryptotis_parva,Cryptotis_parva
Mephitis_mephitis,Neotoma_sp,Conepatus_leuconotus,Lynx_rufus_holocene,Felis_wiedii,Geomys_sp,Odocoileus_sp,Cynomys_ludovicianus,Cynomys_ludovicianus
