0-1128ybp,1128-1458ybp,1458-2775ybp,3104-4422ybp,4751-6069ybp,6398-7716ybp,8045-9363ybp,9692-11010ybp,11339-12656ybp,12986-14623ybp,14859-15802ybp,16038-16980ybp,17216-18159ybp,18395-19338ybp,19574-20517ybp,20752-20988ybp
Antilocapra_americana,Antilocapra_americana,Antilocapra_americana,Antilocapra_americana,Antilocapra_americana,Antilocapra_americana,Antilocapra_americana,Antilocapra_americana,Baiomys_taylori,Antilocapra_americana,Antilocapra_americana,Arctodus_simus,Arctodus_simus,Bison_antiquus,Arctodus_simus,Arctodus_simus
Antilope_cervicapra,Baiomys_taylori,Baiomys_taylori,Baiomys_taylori,Baiomys_taylori,Baiomys_taylori,Baiomys_taylori,Baiomys_taylori,Bassariscus_astutus,Arctodus_simus,Arctodus_simus,Bison_antiquus,Bison_antiquus,Blarina_carolinensis,Bison_antiquus,Bison_antiquus
Axis_axis,Bison_bison,Bison_bison,Bison_bison,Bison_bison,Bison_bison,Bison_bison,Bison_antiquus,Bison_antiquus,Baiomys_taylori,Bison_antiquus,Blarina_carolinensis,Blarina_carolinensis,Camelops_hesternus,Blarina_carolinensis,Camelops_hesternus
Baiomys_taylori,Canis_familiaris,Canis_familiaris,Canis_familiaris,Canis_familiaris,Blarina_carolinensis,Blarina_carolinensis,Blarina_carolinensis,Blarina_carolinensis,Bassariscus_astutus,Blarina_carolinensis,Camelops_hesternus,Camelops_hesternus,Canis_dirus,Camelops_hesternus,Canis_dirus
Bison_bison,Canis_latrans,Canis_latrans,Canis_latrans,Canis_latrans,Canis_familiaris,Canis_familiaris,Canis_familiaris,Camelops_hesternus,Bison_antiquus,Camelops_hesternus,Canis_dirus,Canis_dirus,Canis_latrans,Canis_dirus,Canis_latrans
Bos_taurus,Canis_lupus,Canis_lupus,Canis_lupus,Chaetodipus_hispidus,Canis_latrans,Canis_latrans,Canis_latrans,Canis_dirus,Blarina_carolinensis,Canis_dirus,Canis_latrans,Canis_latrans,Cynomys_ludovicianus,Canis_latrans,Cynomys_ludovicianus
Canis_familiaris,Chaetodipus_hispidus,Chaetodipus_hispidus,Chaetodipus_hispidus,Cratogeomys_castanops,Canis_lupus,Chaetodipus_hispidus,Canis_lupus,Canis_latrans,Camelops_hesternus,Canis_latrans,Chaetodipus_hispidus,Cynomys_ludovicianus,Dipodomys_elator,Chaetodipus_hispidus,Equus_large
Canis_latrans,Conepatus_leuconotus,Conepatus_leuconotus,Cratogeomys_castanops,Cryptotis_parva,Chaetodipus_hispidus,Cryptotis_parva,Chaetodipus_hispidus,Canis_lupus,Canis_dirus,Canis_lupus,Cratogeomys_castanops,Equus_large,Equus_large,Cynomys_ludovicianus,Equus_small
Canis_lupus,Cryptotis_parva,Cryptotis_parva,Cryptotis_parva,Geomys_sp,Cryptotis_parva,Cynomys_ludovicianus,Cryptotis_parva,Chaetodipus_hispidus,Canis_latrans,Chaetodipus_hispidus,Cynomys_ludovicianus,Equus_small,Equus_small,Dipodomys_elator,Glyptotherium_floridanum
Cervus_nippon,Dasypus_novemcinctus,Dasypus_novemcinctus,Geomys_sp,Lepus_californicus,Geomys_sp,Dipodomys_elator,Cynomys_ludovicianus,Cryptotis_parva,Chaetodipus_hispidus,Cryptotis_parva,Dipodomys_elator,Hemiauchenia_macrocephala,Microtus_sp,Equus_large,Homotherium_serum
Chaetodipus_hispidus,Didelphis_virginiana,Didelphis_virginiana,Lepus_californicus,Lynx_rufus,Lepus_californicus,Geomys_sp,Dipodomys_elator,Cynomys_ludovicianus,Cryptotis_parva,Cynomys_ludovicianus,Equus_large,Homotherium_serum,Neotoma_sp,Equus_small,Mammut_americanum
Conepatus_leuconotus,Geomys_sp,Geomys_sp,Lynx_rufus,Microtus_sp,Lynx_rufus,Lepus_californicus,Equus_large,Dasypus_bellus,Cynomys_ludovicianus,Dasypus_bellus,Equus_small,Lynx_rufus,Panthera_onca,Geomys_sp,Mammuthus_columbi
