interval_ID,interval,time_mods,Species_Counts
1,0_1128ybp,0.078353909,38
2,1128_1458ybp,0.070229399,31
3,1458_2775ybp,0.065011457,33
4,3104_4422ybp,0.072909058,31
5,4751_6069ybp,0.111219618,26
6,6398_7716ybp,0.156956939,29
7,8045_9363ybp,0.136019284,33
8,9692_11010ybp,0.070137443,42
9,11339_12656ybp,0.069142622,52
10,12986_14623ybp,0.22,55
11,14859_15802ybp,0.145981612,54
12,16038_16980ybp,0.24828125,46
13,17216_18159ybp,0.531680441,35
14,18395_19338ybp,0.351020408,20
15,19574_20517ybp,0.458412098,27
16,20752_20988ybp,0.426303855,24
