Order,Family,Genus,Species,Binomial,Status,Mass_kg,Mass_Group,Trophic_Category
Artiodactyla,Antilocapridae,Antilocapra,americana,Antilocapra_americana,Extant,46.08292107,10-100 kg,browser
Artiodactyla,Antilocapridae,Capromeryx,minor,Capromeryx_minor,Extinct,15,10-100 kg,browser
Artiodactyla,Antilocapridae,Capromeryx,sp,Capromeryx_sp,Extinct,12.5,10-100 kg,browser
Artiodactyla,Antilocapridae,Stockoceros,sp,Stockoceros_sp,Extinct,53,10-100 kg,browser
Artiodactyla,Antilocapridae,Tetrameryx,shuleri,Tetrameryx_shuleri,Extinct,60,10-100 kg,browser
Artiodactyla,Bovidae,Antilope,cervicapra,Antilope_cervicapra,Introduced,37.5,10-100 kg,grazer
Artiodactyla,Bovidae,Bison,antiquus,Bison_antiquus,Extinct,802,600-1000 kg,grazer
Artiodactyla,Bovidae,Bison,bison,Bison_bison,Extant,675.4786949,600-1000 kg,grazer
Artiodactyla,Bovidae,Bison,latifrons,Bison_latifrons,Extinct,900,600-1000 kg,grazer
Artiodactyla,Bovidae,Bison,sp,Bison_sp,Extinct,851,600-1000 kg,grazer
Artiodactyla,Bovidae,Bootherium ,bombifrons,Bootherium_bombifrons,Extinct,423,100-600 kg,mixed feeder
Artiodactyla,Bovidae,Bos,taurus,Bos_taurus,Introduced,900,600-1000 kg,grazer
Artiodactyla,Bovidae,Capra,hircus,Capra_hircus,Introduced,75,10-100 kg,browser
Artiodactyla,Bovidae,Oryx,dammah,Oryx_dammah,Introduced,200,10-100 kg,grazer
Artiodactyla,Bovidae,Ovis,aries,Ovis_aries,Introduced,50,10-100 kg,grazer
Artiodactyla,Camelidae,Camelops,hesternus,Camelops_hesternus,Extinct,1042.857,>1000 kg,mixed feeder
Artiodactyla,Camelidae,Hemiauchenia,macrocephala,Hemiauchenia_macrocephala,Extinct,110,100-600 kg,mixed feeder
Artiodactyla,Camelidae,Palaeolama,mirifica,Palaeolama_mirifica,Extinct,223,100-600 kg,mixed feeder
Artiodactyla,Cervidae,Axis,axis,Axis_axis,Introduced,70,10-100 kg,grazer
Artiodactyla,Cervidae,Cervus,nippon,Cervus_nippon,Introduced,53,10-100 kg,browser
Artiodactyla,Cervidae,Dama,dama,Dama_dama,Introduced,56.25,10-100 kg,grazer
Artiodactyla,Cervidae,Navahoceros,fricki,Navahoceros_fricki,Extinct,250,100-600 kg,browser
Artiodactyla,Cervidae,Odocoileus,sp,Odocoileus_sp,Extant,55.29256599,10-100 kg,browser
