"","x"
"C3.Plants",1
"C4.Plants",2
"Seeds.Fruits",3
"Insects",4
"Fish",5
"Thomomys_sp",6
"Neotoma_sp",7
"Geomys_sp",8
"Sylvilagus_audubonii",9
"Sylvilagus_floridanus",10
"Lepus_californicus_holocene",11
"Antilocapra_americana",12
"Odocoileus_sp",13
"Pecari_tajacu",14
"Puma_concolor",14
"Urocyon_cinereoargenteus",15
"Vulpes_vulpes",15
"Lynx_rufus_holocene",15
"Canis_latrans",15
"Canis_lupus",15
"Canis_familiaris",15
"Baiomys_taylori",15
"Perognathus_sp",15
"Reithrodontomys_sp",15
"Chaetodipus_hispidus",15
"Spermophilus_sp",15
"Sciurus_sp",15
"Microtus_sp",15
"Sigmodon_hispidus",15
"Bison_bison",15
"Peromyscus_sp",15
"Didelphis_virginiana",15
"Procyon_lotor",15
"Notiosorex_crawfordi",16
"Cryptotis_parva",17
"Onychomys_leucogaster",18
"Conepatus_leuconotus",19
"Dasypus_novemcinctus",20
